DATAFLOW,FREQ,INDICATOR,REF_AREA,UNIT,TIME_PERIOD,OBS_VALUE
UNSD:DF_UNData_UNFCC(1.0),Annual,"Methane (CH4) Emissions without Land Use, Land-Use Change and Forestry (LULUCF)",Australia,Gigagrams (Gg) CO2 equivalent,2017,104363.554577068
UNSD:DF_UNData_UNFCC(1.0),Annual,"Methane (CH4) Emissions without Land Use, Land-Use Change and Forestry (LULUCF)",Australia,Gigagrams (Gg) CO2 equivalent,2018,105111.447634256
UNSD:DF_UNData_UNFCC(1.0),Annual,"Methane (CH4) Emissions without Land Use, Land-Use Change and Forestry (LULUCF)",Australia,Gigagrams (Gg) CO2 equivalent,2019,98903.8171160212
UNSD:DF_UNData_UNFCC(1.0),Annual,"Methane (CH4) Emissions without Land Use, Land-Use Change and Forestry (LULUCF)",Austria,Gigagrams (Gg) CO2 equivalent,1990,10393.8887275648
UNSD:DF_UNData_UNFCC(1.0),Annual,"Methane (CH4) Emissions without Land Use, Land-Use Change and Forestry (LULUCF)",Austria,Gigagrams (Gg) CO2 equivalent,1991,10268.8263552252
UNSD:DF_UNData_UNFCC(1.0),Annual,"Methane (CH4) Emissions without Land Use, Land-Use Change and Forestry (LULUCF)",Austria,Gigagrams (Gg) CO2 equivalent,1992,9983.93970112566
UNSD:DF_UNData_UNFCC(1.0),Annual,"Methane (CH4) Emissions without Land Use, Land-Use Change and Forestry (LULUCF)",Austria,Gigagrams (Gg) CO2 equivalent,1993,9899.71327178629
UNSD:DF_UNData_UNFCC(1.0),Annual,"Methane (CH4) Emissions without Land Use, Land-Use Change and Forestry (LULUCF)",Austria,Gigagrams (Gg) CO2 equivalent,1994,9609.78203852663
UNSD:DF_UNData_UNFCC(1.0),Annual,"Methane (CH4) Emissions without Land Use, Land-Use Change and Forestry (LULUCF)",Austria,Gigagrams (Gg) CO2 equivalent,1995,9532.91173784215
UNSD:DF_UNData_UNFCC(1.0),Annual,"Methane (CH4) Emissions without Land Use, Land-Use Change and Forestry (LULUCF)",Austria,Gigagrams (Gg) CO2 equivalent,1996,9229.45164261869
UNSD:DF_UNData_UNFCC(1.0),Annual,"Methane (CH4) Emissions without Land Use, Land-Use Change and Forestry (LULUCF)",Austria,Gigagrams (Gg) CO2 equivalent,1997,8927.2815871027
UNSD:DF_UNData_UNFCC(1.0),Annual,"Methane (CH4) Emissions without Land Use, Land-Use Change and Forestry (LULUCF)",Austria,Gigagrams (Gg) CO2 equivalent,1998,8747.53755435672
UNSD:DF_UNData_UNFCC(1.0),Annual,"Methane (CH4) Emissions without Land Use, Land-Use Change and Forestry (LULUCF)",Austria,Gigagrams (Gg) CO2 equivalent,1999,8566.63821828977
UNSD:DF_UNData_UNFCC(1.0),Annual,"Methane (CH4) Emissions without Land Use, Land-Use Change and Forestry (LULUCF)",Austria,Gigagrams (Gg) CO2 equivalent,2000,8395.16469086861
UNSD:DF_UNData_UNFCC(1.0),Annual,"Methane (CH4) Emissions without Land Use, Land-Use Change and Forestry (LULUCF)",Austria,Gigagrams (Gg) CO2 equivalent,2001,8236.65159939545
UNSD:DF_UNData_UNFCC(1.0),Annual,"Methane (CH4) Emissions without Land Use, Land-Use Change and Forestry (LULUCF)",Austria,Gigagrams (Gg) CO2 equivalent,2002,8095.49295542023
UNSD:DF_UNData_UNFCC(1.0),Annual,"Methane (CH4) Emissions without Land Use, Land-Use Change and Forestry (LULUCF)",Austria,Gigagrams (Gg) CO2 equivalent,2003,8032.04458852772
UNSD:DF_UNData_UNFCC(1.0),Annual,"Methane (CH4) Emissions without Land Use, Land-Use Change and Forestry (LULUCF)",Austria,Gigagrams (Gg) CO2 equivalent,2004,8034.95910623371
UNSD:DF_UNData_UNFCC(1.0),Annual,"Methane (CH4) Emissions without Land Use, Land-Use Change and Forestry (LULUCF)",Austria,Gigagrams (Gg) CO2 equivalent,2005,7800.89277969864
UNSD:DF_UNData_UNFCC(1.0),Annual,"Methane (CH4) Emissions without Land Use, Land-Use Change and Forestry (LULUCF)",Austria,Gigagrams (Gg) CO2 equivalent,2006,7700.77736498971
UNSD:DF_UNData_UNFCC(1.0),Annual,"Methane (CH4) Emissions without Land Use, Land-Use Change and Forestry (LULUCF)",Austria,Gigagrams (Gg) CO2 equivalent,2007,7595.32800725115
UNSD:DF_UNData_UNFCC(1.0),Annual,"Methane (CH4) Emissions without Land Use, Land-Use Change and Forestry (LULUCF)",Austria,Gigagrams (Gg) CO2 equivalent,2008,7469.73178939052
UNSD:DF_UNData_UNFCC(1.0),Annual,"Methane (CH4) Emissions without Land Use, Land-Use Change and Forestry (LULUCF)",Austria,Gigagrams (Gg) CO2 equivalent,2009,7373.07099575822
UNSD:DF_UNData_UNFCC(1.0),Annual,"Methane (CH4) Emissions without Land Use, Land-Use Change and Forestry (LULUCF)",Austria,Gigagrams (Gg) CO2 equivalent,2010,7271.68034820397
UNSD:DF_UNData_UNFCC(1.0),Annual,"Methane (CH4) Emissions without Land Use, Land-Use Change and Forestry (LULUCF)",Austria,Gigagrams (Gg) CO2 equivalent,2011,7056.96715960133
UNSD:DF_UNData_UNFCC(1.0),Annual,"Methane (CH4) Emissions without Land Use, Land-Use Change and Forestry (LULUCF)",Austria,Gigagrams (Gg) CO2 equivalent,2012,6943.12806486109
UNSD:DF_UNData_UNFCC(1.0),Annual,"Methane (CH4) Emissions without Land Use, Land-Use Change and Forestry (LULUCF)",Austria,Gigagrams (Gg) CO2 equivalent,2013,6831.8734984941
UNSD:DF_UNData_UNFCC(1.0),Annual,"Methane (CH4) Emissions without Land Use, Land-Use Change and Forestry (LULUCF)",Austria,Gigagrams (Gg) CO2 equivalent,2014,6693.54319915287
UNSD:DF_UNData_UNFCC(1.0),Annual,"Methane (CH4) Emissions without Land Use, Land-Use Change and Forestry (LULUCF)",Austria,Gigagrams (Gg) CO2 equivalent,2015,6607.27123933778
UNSD:DF_UNData_UNFCC(1.0),Annual,"Methane (CH4) Emissions without Land Use, Land-Use Change and Forestry (LULUCF)",Austria,Gigagrams (Gg) CO2 equivalent,2016,6544.38084647423
UNSD:DF_UNData_UNFCC(1.0),Annual,"Methane (CH4) Emissions without Land Use, Land-Use Change and Forestry (LULUCF)",Austria,Gigagrams (Gg) CO2 equivalent,2017,6522.05505465651
UNSD:DF_UNData_UNFCC(1.0),Annual,"Methane (CH4) Emissions without Land Use, Land-Use Change and Forestry (LULUCF)",Austria,Gigagrams (Gg) CO2 equivalent,2018,6325.92734430326
UNSD:DF_UNData_UNFCC(1.0),Annual,"Methane (CH4) Emissions without Land Use, Land-Use Change and Forestry (LULUCF)",Austria,Gigagrams (Gg) CO2 equivalent,2019,6194.26156471306
UNSD:DF_UNData_UNFCC(1.0),Annual,"Methane (CH4) Emissions without Land Use, Land-Use Change and Forestry (LULUCF)",Belgium,Gigagrams (Gg) CO2 equivalent,1990,11533.2238457729
UNSD:DF_UNData_UNFCC(1.0),Annual,"Methane (CH4) Emissions without Land Use, Land-Use Change and Forestry (LULUCF)",Belgium,Gigagrams (Gg) CO2 equivalent,1991,11492.8384918838
UNSD:DF_UNData_UNFCC(1.0),Annual,"Methane (CH4) Emissions without Land Use, Land-Use Change and Forestry (LULUCF)",Belgium,Gigagrams (Gg) CO2 equivalent,1992,11415.5486388592
UNSD:DF_UNData_UNFCC(1.0),Annual,"Methane (CH4) Emissions without Land Use, Land-Use Change and Forestry (LULUCF)",Belgium,Gigagrams (Gg) CO2 equivalent,1993,11218.8500046286
UNSD:DF_UNData_UNFCC(1.0),Annual,"Methane (CH4) Emissions without Land Use, Land-Use Change and Forestry (LULUCF)",Belgium,Gigagrams (Gg) CO2 equivalent,1994,11249.6878669847
UNSD:DF_UNData_UNFCC(1.0),Annual,"Methane (CH4) Emissions without Land Use, Land-Use Change and Forestry (LULUCF)",Belgium,Gigagrams (Gg) CO2 equivalent,1995,11313.6646480373
UNSD:DF_UNData_UNFCC(1.0),Annual,"Methane (CH4) Emissions without Land Use, Land-Use Change and Forestry (LULUCF)",Belgium,Gigagrams (Gg) CO2 equivalent,1996,11176.6058175626
UNSD:DF_UNData_UNFCC(1.0),Annual,"Methane (CH4) Emissions without Land Use, Land-Use Change and Forestry (LULUCF)",Belgium,Gigagrams (Gg) CO2 equivalent,1997,11059.1969799223
UNSD:DF_UNData_UNFCC(1.0),Annual,"Methane (CH4) Emissions without Land Use, Land-Use Change and Forestry (LULUCF)",Belgium,Gigagrams (Gg) CO2 equivalent,1998,10885.630487716
UNSD:DF_UNData_UNFCC(1.0),Annual,"Methane (CH4) Emissions without Land Use, Land-Use Change and Forestry (LULUCF)",Belgium,Gigagrams (Gg) CO2 equivalent,1999,10645.7488961431
UNSD:DF_UNData_UNFCC(1.0),Annual,"Methane (CH4) Emissions without Land Use, Land-Use Change and Forestry (LULUCF)",Belgium,Gigagrams (Gg) CO2 equivalent,2000,10233.6514206856
